    





         APP  SURF        PRIX          LOCALISATION
         a01    28         650          censier 1
         a02    50        1400          contrescarpe
         a03   106        3250          saint simon
         a04   196        4000          rapp
         a05    55        1340          saint andré des art
         a06   190        3950          près quais du 5eme
         a07   110        2500          gobelins 1
         a08    60        1600          gobelins 2
         a09    48        1250          censier
         a10    35        1250          panthéon 1
         a11    86        1750          rue madame
         a12    65        1500          rue de seine
         a13    32         775          panthéon 2
         a14    52        1225          sèvres babylone
         a15    40        1000          montparnasse 1
         a16   260        7500          rue d'assas
         a17    70        1625          boulevard saint ger
         a18   117        4750          ile saint louis
         a19    90        1890          jussieu
         a20    30         390          quartier latin
         a21   105        1875          montparnasse 2
         a22    52        1000          rue mazarine
         a23    80        1350          censier 2
         a24    60        1475          assas luxembourg
         a25   140        4950          jardins observatoir
         a26    20         425          rue de savoie
         a27   100        2475          près luxembourg
         a28    28         425          métro gobelins
